"SECT","Sectorial indicators","LOCATION","Country","TIME","Year","Value","Flag Codes","Flags"
"TOTAL_SECT","Total network sectors","FIN","Finland","2018","2018",1.5205926,,
"TOTAL_SECT","Total network sectors","FRA","France","2018","2018",1.6845547,,
"TOTAL_SECT","Total network sectors","DEU","Germany","2018","2018",1.0766387,,
"TOTAL_SECT","Total network sectors","GRC","Greece","2018","2018",1.1880634,,
"TOTAL_SECT","Total network sectors","HUN","Hungary","2018","2018",1.5018214,,
"TOTAL_SECT","Total network sectors","ISL","Iceland","2018","2018",1.081223,,
"TOTAL_SECT","Total network sectors","IRL","Ireland","2018","2018",1.2571543,,
"TOTAL_SECT","Total network sectors","ITA","Italy","2018","2018",1.064441,,
"TOTAL_SECT","Total network sectors","JPN","Japan","2018","2018",1.4871244,,
"TOTAL_SECT","Total network sectors","KOR","Korea","2018","2018",1.9755648,,
"TOTAL_SECT","Total network sectors","LUX","Luxembourg","2018","2018",1.7981837,,
"TOTAL_SECT","Total network sectors","MEX","Mexico","2018","2018",1.8796337,,
"TOTAL_SECT","Total network sectors","NLD","Netherlands","2018","2018",0.97414535,,
"TOTAL_SECT","Total network sectors","NZL","New Zealand","2018","2018",1.6984903,,
"TOTAL_SECT","Total network sectors","NOR","Norway","2018","2018",1.7591292,,
"TOTAL_SECT","Total network sectors","POL","Poland","2018","2018",1.6328095,,
"TOTAL_SECT","Total network sectors","PRT","Portugal","2018","2018",1.2231879,,
"TOTAL_SECT","Total network sectors","SVK","Slovak Republic","2018","2018",1.4081053,,
"TOTAL_SECT","Total network sectors","ESP","Spain","2018","2018",1.0898145,,
"TOTAL_SECT","Total network sectors","SWE","Sweden","2018","2018",1.3538008,,
"TOTAL_SECT","Total network sectors","CHE","Switzerland","2018","2018",2.5920718,,
"TOTAL_SECT","Total network sectors","TUR","Turkey","2018","2018",1.9361725,,
"TOTAL_SECT","Total network sectors","GBR","United Kingdom","2018","2018",0.55952382,,
"TOTAL_SECT","Total network sectors","ARG","Argentina","2018","2018",2.5754917,,
"TOTAL_SECT","Total network sectors","BRA","Brazil","2018","2018",1.9447044,,
"TOTAL_SECT","Total network sectors","CHL","Chile","2018","2018",1.4859514,,
"TOTAL_SECT","Total network sectors","ISR","Israel","2018","2018",1.8997821,,
"TOTAL_SECT","Total network sectors","LVA","Latvia","2018","2018",1.577296,,
"TOTAL_SECT","Total network sectors","LTU","Lithuania","2018","2018",1.9456464,,
"TOTAL_SECT","Total network sectors","SVN","Slovenia","2018","2018",1.7418578,,
"TOTAL_SECT","Total network sectors","ZAF","South Africa","2018","2018",2.5937939,,
"RETAIL","Retail Distribution","BGR","Bulgaria","2018","2018",1.5588236,,
"MEDICINES","Retail Sales of Medicines","BGR","Bulgaria","2018","2018",1.75,,
"TOTAL_SECT","Total network sectors","BGR","Bulgaria","2018","2018",1.3509037,,
"RETAIL","Retail Distribution","COL","Colombia","2018","2018",0.89411765,,
"MEDICINES","Retail Sales of Medicines","COL","Colombia","2018","2018",1.5,,
"TOTAL_SECT","Total network sectors","COL","Colombia","2018","2018",1.4077444,,
"RETAIL","Retail Distribution","CRI","Costa Rica","2018","2018",1.5058824,,
"MEDICINES","Retail Sales of Medicines","CRI","Costa Rica","2018","2018",1,,
"TOTAL_SECT","Total network sectors","CRI","Costa Rica","2018","2018",2.9588814,,
"RETAIL","Retail Distribution","HRV","Croatia","2018","2018",1.2205882,,
"MEDICINES","Retail Sales of Medicines","HRV","Croatia","2018","2018",4.5,,
"TOTAL_SECT","Total network sectors","HRV","Croatia","2018","2018",1.5336128,,
"RETAIL","Retail Distribution","CYP","Cyprus","2018","2018",1.2941177,,
"MEDICINES","Retail Sales of Medicines","CYP","Cyprus","2018","2018",2.875,,
"TOTAL_SECT","Total network sectors","CYP","Cyprus","2018","2018",1.5839286,,
"RETAIL","Retail Distribution","EST","Estonia","2018","2018",0.375,,
"MEDICINES","Retail Sales of Medicines","EST","Estonia","2018","2018",1.875,,
"TOTAL_SECT","Total network sectors","EST","Estonia","2018","2018",1.3309593,,
"RETAIL","Retail Distribution","KAZ","Kazakhstan","2018","2018",1.1529412,,
"MEDICINES","Retail Sales of Medicines","KAZ","Kazakhstan","2018","2018",1,,
"TOTAL_SECT","Total network sectors","KAZ","Kazakhstan","2018","2018",2.5995297,,
"RETAIL","Retail Distribution","MLT","Malta","2018","2018",1.3529412,,
"MEDICINES","Retail Sales of Medicines","MLT","Malta","2018","2018",4.75,,
"TOTAL_SECT","Total network sectors","MLT","Malta","2018","2018",1.4434552,,
"RETAIL","Retail Distribution","ROU","Romania","2018","2018",1.3529412,,
"MEDICINES","Retail Sales of Medicines","ROU","Romania","2018","2018",1.5,,
"TOTAL_SECT","Total network sectors","ROU","Romania","2018","2018",1.7326531,,
